fecha,cola_nombre,alertadas,respondidas,manejadas,no_contestadas,salientes,tiempoManejo,EnPlataforma,Ocupado_GestionBackOffice,Disponible,tiempoAlertado,tiempoConversacion_Entrantes,tasa_abandono,ratio_ocupacion,AHT,ASA,ATT
2025-05-09,CMP_COV_BGPURGENCIAS_ESSD8401,50,30,50,20,20,0.12,390.68,0.38,0.09,0.01,0.08,30.49,54.71,0.03,0.0,0.03
2025-05-09,CMP_COV_BGP_ESSD8401,595,544,650,51,106,1.75,411.09,0.83,0.12,0.08,1.5,3.34,79.97,0.03,0.06,0.02
2025-05-09,CMP_MKT_BGPURGENCIAS_ESSD8401,8,8,194,0,186,0.72,495.36,6.37,0.02,0.0,0.03,0.0,85.69,0.03,0.04,0.01
2025-05-09,CMP_MKT_BGP_ESSD8401,1122,1072,1539,50,466,2.31,441.01,3.74,0.03,0.07,1.77,6.05,98.12,0.04,0.0,0.03
2025-05-12,CMP_COV_BGPURGENCIAS_ESSD8401,17,13,31,4,18,0.09,421.75,0.5,0.06,0.0,0.03,15.28,62.85,0.03,0.0,0.02
2025-05-12,CMP_COV_BGP_ESSD8401,814,729,835,85,106,1.8,435.44,0.81,0.06,0.1,1.58,4.41,87.42,0.03,0.06,0.02
2025-05-12,CMP_MKT_BGPURGENCIAS_ESSD8401,11,11,59,0,48,0.25,564.3,5.78,0.01,0.0,0.04,0.0,93.13,0.02,0.06,0.01
2025-05-12,CMP_MKT_BGP_ESSD8401,1662,1588,2347,74,756,2.58,491.73,4.14,0.03,0.09,1.92,2.14,97.23,0.04,0.07,0.03
2025-05-13,CMP_COV_BGPURGENCIAS_ESSD8401,14,14,46,0,32,0.07,405.69,0.43,0.05,0.0,0.03,0.0,70.16,0.03,0.13,0.02
2025-05-13,CMP_COV_BGP_ESSD8401,635,569,682,66,113,1.98,442.71,0.25,0.09,0.09,1.74,4.62,89.56,0.03,0.06,0.02
2025-05-13,CMP_MKT_BGPURGENCIAS_ESSD8401,13,13,38,0,25,0.21,546.22,5.43,0.0,0.0,0.07,0.0,97.2,0.02,0.08,0.02
2025-05-13,CMP_MKT_BGP_ESSD8401,1560,1468,2083,92,614,2.29,484.33,3.8,0.05,0.07,1.79,4.38,97.75,0.04,0.08,0.03
2025-05-14,CMP_COV_BGPURGENCIAS_ESSD8401,22,16,60,6,44,0.1,417.24,0.32,0.04,0.0,0.03,22.73,58.8,0.02,0.12,0.02
2025-05-14,CMP_COV_BGP_ESSD8401,659,593,747,66,154,1.71,427.64,0.8,0.07,0.08,1.47,3.78,91.77,0.03,0.06,0.02
2025-05-14,CMP_MKT_BGPURGENCIAS_ESSD8401,6,6,72,0,66,0.32,480.73,4.68,0.0,0.0,0.04,0.0,90.71,0.02,0.05,0.01
2025-05-14,CMP_MKT_BGP_ESSD8401,1380,1314,1977,66,663,2.38,479.7,3.64,0.04,0.07,1.84,3.5,97.82,0.04,0.08,0.04
2025-05-19,CMP_COV_BGPURGENCIAS_ESSD8401,19,15,32,4,17,0.08,423.5,0.33,0.03,0.0,0.04,18.75,63.98,0.03,0.0,0.02
2025-05-19,CMP_COV_BGP_ESSD8401,755,664,809,91,145,2.01,430.95,0.23,0.07,0.09,1.74,5.36,93.66,0.03,0.06,0.02
2025-05-19,CMP_MKT_BGPURGENCIAS_ESSD8401,18,17,187,1,170,0.43,584.55,6.54,0.01,0.0,0.06,1.43,96.17,0.02,0.05,0.02
2025-05-19,CMP_MKT_BGP_ESSD8401,1379,1313,1789,66,475,2.78,476.84,3.13,0.04,0.08,2.19,3.26,97.76,0.04,0.08,0.03
2025-05-20,CMP_COV_BGPURGENCIAS_ESSD8401,22,14,40,8,26,0.1,428.99,0.21,0.05,0.0,0.07,21.21,65.85,0.04,0.0,0.04
2025-05-20,CMP_COV_BGP_ESSD8401,726,637,772,89,135,1.76,443.89,1.27,0.16,0.08,1.52,6.63,88.37,0.03,0.06,0.02
2025-05-20,CMP_MKT_BGPURGENCIAS_ESSD8401,11,11,144,0,133,0.35,603.86,6.23,0.01,0.0,0.03,0.0,95.86,0.02,0.04,0.01
2025-05-20,CMP_MKT_BGP_ESSD8401,1526,1430,1994,96,564,2.83,473.47,3.51,0.02,0.08,2.25,3.73,98.97,0.04,0.07,0.03
2025-05-21,CMP_COV_BGPURGENCIAS_ESSD8401,36,16,36,20,20,0.07,411.23,0.11,0.05,0.0,0.03,38.89,52.8,0.02,0.0,0.02
2025-05-21,CMP_COV_BGP_ESSD8401,660,582,661,78,79,2.17,415.23,0.22,0.06,0.1,1.97,5.6,93.93,0.04,0.07,0.02
2025-05-21,CMP_MKT_BGPURGENCIAS_ESSD8401,16,16,115,0,99,0.25,555.39,5.08,0.0,0.0,0.06,0.0,95.53,0.02,0.06,0.01
2025-05-21,CMP_MKT_BGP_ESSD8401,1355,1303,1813,52,510,2.38,482.54,3.79,0.02,0.07,1.86,2.86,97.39,0.04,0.08,0.04
2025-05-22,CMP_COV_BGPURGENCIAS_ESSD8401,23,13,47,10,34,0.09,389.35,0.03,0.03,0.01,0.06,26.0,58.38,0.04,0.0,0.03
